gen	avg     	std     	min        	max     
0  	0.491594	0.29814 	0.0205684  	0.980211
1  	0.62399 	0.274732	0.0340622  	0.948777
2  	0.64123 	0.290593	0.0349146  	0.955624
3  	0.589561	0.342675	0.0275725  	0.981102
4  	0.689866	0.269741	0.12379    	0.991853
5  	0.6214  	0.345844	0.00159271 	0.981102
6  	0.649808	0.316567	0.0132644  	0.981102
7  	0.660641	0.291664	0.0260431  	0.987053
8  	0.674297	0.314273	0.0161292  	0.993417
9  	0.743775	0.262715	0.00969905 	0.993417
10 	0.711618	0.299481	0.0254241  	0.987053
11 	0.701892	0.308707	0.0137647  	0.987053
12 	0.639052	0.330537	0.00337152 	0.987053
13 	0.617014	0.314696	0.00813831 	0.988146
14 	0.62086 	0.300133	0.0477793  	0.998791
15 	0.706534	0.291346	0.0076564  	0.987053
16 	0.633499	0.338951	0.0186429  	0.998036
17 	0.636968	0.325628	0.0990224  	0.998036
18 	0.604053	0.288364	0.000876124	0.998036
19 	0.622123	0.321487	0.0153116  	0.998036
20 	0.707146	0.299617	0.000942127	0.998036
21 	0.66952 	0.301942	0.0368217  	0.998036
22 	0.643091	0.349476	0.0321694  	0.998036
23 	0.620384	0.335731	0.0292359  	0.998036
24 	0.722439	0.313428	0.00203698 	0.998036
25 	0.659751	0.297328	0.0814308  	0.998036
26 	0.686371	0.262063	0.0714896  	0.998036
27 	0.694948	0.317807	0.00520504 	0.998036
28 	0.699566	0.328442	0.0214836  	0.998036
29 	0.651156	0.314892	0.0684412  	0.998036
30 	0.754208	0.304075	0.0157541  	0.998036
31 	0.654315	0.369081	0.00458083 	0.998721
32 	0.601061	0.29047 	0.0129723  	0.998036
33 	0.551504	0.318279	0.000443502	0.998036
34 	0.590231	0.303726	0.00122533 	0.999094
35 	0.636464	0.272906	0.037075   	0.998036
36 	0.655952	0.296567	0.00627662 	0.998036
37 	0.591283	0.310842	0.00269551 	0.998036
38 	0.606494	0.282802	0.0150619  	0.999705
39 	0.533474	0.318222	0.0169871  	0.999705
