   	            entropy            	              diff             	      suicides     
   	-------------------------------	-------------------------------	-------------------
gen	min 	avg     	max    	min     	avg    	max    	min	avg 	max
0  	0   	0.1096  	2.24   	0.719219	1.21583	1.77304	0  	0   	0  
1  	0   	0.193809	2.25046	0.707831	1.24542	1.69104	0  	0   	0  
2  	0   	0.407178	2.25046	0.707831	1.2484 	1.64886	0  	0   	0  
3  	0   	0.742545	2.25046	0.674823	1.21254	1.71193	0  	0   	0  
4  	0   	1.15115 	2.25046	0.674823	1.13594	1.71193	0  	0.02	1  
5  	0.04	1.21686 	2.42806	0.53916 	1.10734	1.6265 	0  	0   	0  
6  	0.08	1.6409  	2.34215	0.53916 	1.07993	1.63052	0  	0   	0  
7  	0.04	1.83006 	2.4    	0.53916 	1.0434 	1.35244	0  	0   	0  
8  	0.04	1.86582 	2.42806	0.686961	1.07173	1.25591	0  	0   	0  
9  	0.04	1.85421 	2.42806	0.712446	1.13231	1.35781	0  	0   	0  
10 	0   	1.7233  	2.42806	0.853356	1.1521 	1.40555	0  	0   	0  
11 	0   	1.99033 	2.42806	0.890697	1.1694 	1.29322	0  	0   	0  
12 	0   	2.06168 	2.51145	0.890697	1.17433	1.29322	0  	0   	0  
13 	0.56	2.15504 	2.48   	0.889826	1.18959	1.30918	0  	0   	0  
14 	0   	2.0753  	2.44247	0.890697	1.2102 	1.30918	0  	0   	0  
15 	0.04	2.02813 	2.56   	0.921917	1.23303	1.30918	0  	0   	0  
16 	0.04	2.06688 	2.56   	1.1932  	1.25036	1.31638	0  	0   	0  
17 	0.04	2.06281 	2.56   	1.18008 	1.25105	1.32642	0  	0.02	1  
18 	0.08	1.9948  	2.59358	1.20802 	1.26446	1.33558	0  	0.04	1  
19 	0.04	2.18328 	2.56   	1.20329 	1.25929	1.32837	0  	0   	0  
