   	      entropy      	              diff             	       kills       
   	-------------------	-------------------------------	-------------------
gen	min	avg 	max	min     	avg    	max    	min	avg  	max
0  	0  	0.98	2  	0.586582	1.2347 	1.90419	0  	13.14	25 
1  	0  	0.82	2  	0.586582	1.16818	1.65549	0  	11.96	25 
2  	0  	1.02	2  	0.325698	1.20697	1.86268	0  	11.18	24 
3  	0  	1.22	2  	0.325698	1.20156	1.86268	0  	10.4 	24 
4  	0  	1.24	2  	0.646143	1.23128	1.90866	0  	9.6  	25 
5  	0  	1.12	2  	0.650023	1.24878	1.94047	0  	11.66	24 
6  	0  	0.96	2  	0.587803	1.27452	1.84677	0  	10.52	25 
7  	0  	0.96	2  	0.587803	1.2424 	1.68139	0  	11.14	25 
8  	0  	0.94	2  	0.779818	1.24324	1.63278	0  	11.68	25 
9  	0  	0.96	2  	0.709885	1.21051	1.71398	0  	12.26	25 
