gen	avg     	std     	min	max    
0  	1.00335 	0.776665	0  	2      
1  	0.670483	0.672688	0  	1.97095
2  	0.534082	0.441534	0  	1      
3  	1.27421 	0.624391	0  	2      
4  	1.38328 	0.646728	0  	2      
5  	0.995263	0.676692	0  	1.97095
6  	1.02123 	0.759703	0  	1.98523
7  	0.912241	0.528931	0  	1.62256
8  	0.936194	0.809866	0  	1.92538
9  	1.00449 	0.704186	0  	1.95443
10 	0.852306	0.684182	0  	1.90352
11 	0.702423	0.67938 	0  	1.87273
12 	1.1311  	0.678514	0  	1.95618
13 	0.940207	0.750341	0  	1.97926
14 	1.42535 	0.670278	0  	1.98523
15 	0.77982 	0.64811 	0  	1.9419 
16 	1.15592 	0.798363	0  	2      
17 	1.36002 	0.624854	0  	1.99403
18 	1.36987 	0.673884	0  	1.95618
19 	1.00208 	0.666488	0  	1.98523
