   	            entropy            	                  diff                  	      suicides     
   	-------------------------------	----------------------------------------	-------------------
gen	min     	avg    	max    	min     	avg     	max     	min	avg	max
0  	0       	1.03442	1.75494	0.568067	1.26776 	1.6171  	0  	2.7	11 
1  	0       	1.06312	1.97926	1.14812 	1.29771 	1.5255  	0  	2.3	6  
2  	0       	1.17231	1.90352	0.957037	1.22279 	1.5255  	0  	2.8	11 
3  	0       	1.08597	1.90352	0       	0.919835	1.44552 	0  	2.7	12 
4  	0       	1.22531	1.98511	0       	1.0563  	1.63584 	0  	1  	4  
5  	0.353359	1.4501 	1.9887 	0       	0.830412	1.67264 	0  	2.2	8  
6  	0       	1.33209	1.99108	0       	0.617285	1.32434 	0  	1.5	5  
7  	0.811278	1.55148	1.97095	0       	0.587965	1.29666 	0  	2.3	5  
8  	0       	1.63957	1.99403	0       	0.276072	0.482484	0  	1  	4  
9  	0       	1.52322	1.97926	0.042042	0.408398	0.884002	0  	1.5	3  
10 	1.60322 	1.82969	1.97095	0       	0.348564	0.711497	0  	1.7	3  
11 	1.46339 	1.84158	2      	0       	0.46683 	0.933209	0  	1.3	3  
12 	1.40295 	1.84772	1.97095	0       	0.429362	0.984456	0  	1.7	4  
13 	0       	1.42605	1.98096	0       	0.374606	0.590089	0  	2  	4  
14 	1.38892 	1.8313 	2      	0       	0.385818	0.643572	0  	1.7	5  
15 	0       	1.46782	1.9343 	0       	0.407656	0.974696	0  	1.9	5  
16 	0.881291	1.79496	1.98443	0       	0.486394	0.915693	0  	2.4	8  
17 	0       	1.34495	1.99108	0       	0.467877	0.914727	0  	1.9	5  
18 	1.16295 	1.7931 	1.99108	0       	0.575081	0.993618	0  	1.6	4  
19 	0       	1.43025	1.9868 	0       	0.651742	1.0003  	0  	1.7	3  
