   	                entropy                	                  diff                  
   	---------------------------------------	----------------------------------------
gen	min      	avg     	max    	min     	avg     	max     
0  	0        	0.834836	1.5744 	0.995772	1.327   	1.61103 
1  	0.770951 	1.20517 	1.7183 	1.29398 	1.50515 	1.61294 
2  	0.711278 	1.02639 	1.87095	0       	1.08294 	1.56571 
3  	0        	0.920972	1.7    	0       	0.632107	1.19886 
4  	0        	0.871557	1.76203	0       	0.63278 	1.45358 
5  	0        	0.628939	1.2613 	0       	0.847314	1.45358 
6  	0.484038 	1.34045 	1.78925	0       	0.764321	1.5987  
7  	0        	1.33199 	1.88523	0       	0.731996	1.12419 
8  	0.771523 	1.28007 	1.61128	0.410088	0.732706	1.04672 
9  	0        	1.2831  	1.9    	0.245705	0.896161	1.12419 
10 	0.563121 	0.930692	1.49765	0.245705	0.741808	1.12419 
11 	0.3      	0.835723	1.59959	0       	0.575881	1.04672 
12 	0.250022 	0.749245	1.66365	0       	0.268439	0.758343
13 	0.0219281	0.767082	1.29257	0       	0.459285	0.853456
14 	0.611278 	1.40894 	1.77987	0       	0.332256	0.848668
15 	0        	0.736253	1.15858	0       	0.170093	0.425231
16 	0        	1.24459 	1.67273	0       	0.224802	1.12401 
17 	0.461237 	0.819055	1.35779	0       	0.71122 	1.12401 
18 	0.440286 	1.03864 	1.43219	0       	0.690011	1.12401 
19 	0        	0.634038	1.36895	0       	0.634418	0.846046
20 	0.69403  	1.23804 	1.61128	0       	0.663019	0.989049
