   	                entropy                 	                  diff                  
   	----------------------------------------	----------------------------------------
gen	min     	avg     	max     	min      	avg     	max     
0  	0       	0.508045	1.9183  	0.852446 	1.07523 	1.43844 
1  	0       	0.773769	1.78925 	0        	1.06159 	1.52212 
2  	0       	0.80875 	1.9183  	0        	1.08123 	1.52212 
3  	0       	0.74509 	1.68523 	0        	1.02569 	1.53799 
4  	0.791076	1.08063 	1.61128 	0.498684 	0.918196	1.41953 
5  	0       	0.343659	1.7183  	0.0606061	0.573315	0.917682
6  	0       	1.04591 	1.8183  	0        	0.519873	0.919681
7  	0       	1.24431 	1.83659 	0.0606061	0.539166	0.760664
8  	0       	0.763659	2       	0        	0.482816	0.92925 
9  	0       	0.905493	1.63659 	0.507465 	0.688273	0.92925 
10 	0.291673	0.656889	0.918296	0        	0.68575 	1.05802 
11 	0       	1.01011 	1.87095 	0        	0.601874	1.13496 
12 	0       	0.478205	1.57273 	0.633592 	0.687845	0.760436
13 	0       	0.684688	1.78925 	0        	0.577134	0.827969
14 	0       	0.665915	1.8183  	0.183183 	0.473149	0.655949
15 	0.770951	1.29929 	1.9     	0        	0.357127	0.735786
16 	0       	0.767881	1.85618 	0        	0.147157	0.735786
17 	0       	0.999843	1.8183  	0.681048 	0.813065	1.18674 
18 	0.611278	0.98838 	1.59403 	0        	0.464425	1.20389 
19 	0       	1.13674 	1.67273 	0.537719 	0.70271 	1.07783 
20 	0       	1.19055 	1.78925 	0.537719 	0.74558 	1.06909 
