   	                entropy                	                  diff                  
   	---------------------------------------	----------------------------------------
gen	min     	avg     	max    	min     	avg     	max     
0  	0       	1.19436 	2      	0.788258	1.21033 	1.59653 
1  	0       	0.692137	1.18142	0.889857	1.14451 	1.34917 
2  	0       	0.779396	1.8183 	0       	0.897569	1.47864 
3  	0.222757	0.988323	1.61233	0.893994	1.14483 	1.46172 
4  	0       	0.898142	1.88129	0.41483 	0.989093	1.33354 
5  	0.119382	1.01784 	1.9183 	0       	0.756889	1.33354 
6  	0       	1.09715 	1.85618	0       	0.908243	1.42059 
7  	0       	1.52945 	2      	0       	0.555188	1.02023 
8  	1.2613  	1.65968 	2      	0.910266	1.15816 	1.37196 
9  	0       	0.995172	1.87095	0       	0.628395	1.31235 
10 	0       	0.763659	2      	0       	0.452182	1.25862 
11 	0.770951	1.39866 	1.83659	0       	0.486058	1.25862 
12 	0       	0.722825	1.68925	0       	0.630311	1.25862 
13 	0       	1.12745 	1.72957	0.972304	1.07133 	1.25862 
14 	0       	1.41212 	1.97095	0       	0.778077	1.07978 
15 	0.818296	1.44292 	1.95618	0       	0.739276	1.34536 
16 	0.9     	1.61779 	1.9    	0       	0.476858	1.34536 
17 	0.918296	1.54341 	1.83659	0       	0.493898	1.4506  
18 	0.491673	1.22967 	1.9419 	0.769806	1.23824 	1.36534 
19 	0       	0.730829	1.83659	0       	0.310906	0.958569
20 	0       	0.668516	1.80937	0       	0.540311	1.36534 
