gen	avg     	std     	min	max    
0  	0.173605	0.4203  	0  	1.76571
1  	0.411438	0.630638	0  	1.95618
2  	0.819643	0.789198	0  	1.97095
3  	1.16046 	0.746742	0  	2      
4  	1.0235  	0.832563	0  	2      
5  	1.43339 	0.738307	0  	2      
6  	1.23346 	0.848327	0  	2      
7  	1.60239 	0.616974	0  	2      
8  	1.14752 	0.836025	0  	2      
9  	1.22311 	0.804009	0  	2      
10 	1.2837  	0.765202	0  	2      
11 	1.28738 	0.841406	0  	2      
12 	1.3984  	0.750607	0  	2      
13 	1.25105 	0.744408	0  	2      
14 	1.35543 	0.748572	0  	2      
15 	1.36577 	0.733047	0  	2      
16 	1.3413  	0.797132	0  	2      
17 	1.58116 	0.579158	0  	2      
18 	1.32472 	0.764036	0  	2      
19 	1.61724 	0.601335	0  	2      
