gen	avg 	std     	min	max
0  	0.98	0.836421	0  	2  
1  	1.44	0.697424	0  	2  
2  	1.4 	0.8     	0  	2  
3  	1.4 	0.748331	0  	2  
4  	1.32	0.835225	0  	2  
5  	1.3 	0.728011	0  	2  
6  	1.22	0.807217	0  	2  
7  	1.38	0.821949	0  	2  
8  	1.38	0.845931	0  	2  
9  	1.44	0.778717	0  	2  
10 	1.5 	0.728011	0  	2  
11 	1.46	0.78    	0  	2  
12 	1.24	0.788923	0  	2  
13 	1.32	0.785875	0  	2  
14 	1.46	0.669627	0  	2  
15 	1.2 	0.8     	0  	2  
16 	1.1 	0.830662	0  	2  
17 	1.32	0.785875	0  	2  
18 	1.42	0.695414	0  	2  
19 	1.44	0.725534	0  	2  
