Gen : 0
0 : (2, 5, 0.0, 210.3679, 2.0)
1 : (5, 2, 0.0, 119.6261, 0.0)
2 : (3, 6, 0.0133, 400.888, 1.0)
3 : (6, 3, 0.0069, 82.7662, 1.6667)
4 : (2, 4, 0.0, 282.7057, 1.0)
5 : (4, 14, 0.0, 224.8278, 2.0)
6 : (4, 12, 0.0, 167.462, 1.0)
7 : (6, 4, 0.0055, 311.2463, 3.0)
8 : (4, 4, 0.0, 119.91, 1.3333)
9 : (3, 13, 0.0078, 155.9477, 1.4444)
10 : (4, 0, 0.0, 88.814, 0.0)
11 : (0, 4, 0.0, 137.0284, 0.0)
12 : (2, 0, 0.0, 192.174, 0.0)
13 : (0, 2, 0.0, 201.3675, 0.0)
14 : (3, 12, 0.0, 293.0462, 1.0)
15 : (8, 21, 0.0, 229.5103, 1.5)
16 : (3, 16, 0.0, 202.7684, 1.5)
17 : (15, 21, 0.0014, 250.0571, 1.6111)
18 : (8, 13, 0.0023, 240.2186, 1.1667)
19 : (7, 23, 0.0, 240.7123, 1.1667)
20 : (0, 0, 0.0109, 507.8904, 0.0)
21 : (0, 0, 0.0009, 268.8756, 0.0)
22 : (7, 10, 0.0032, 247.213, 1.5)
23 : (6, 7, 0.0051, 490.2166, 2.5)
24 : (6, 25, 0.0, 238.0539, 1.2)
25 : (10, 11, 0.0, 130.5904, 1.84)
26 : (0, 16, 0.0, 249.1359, 0.0)
27 : (16, 12, 0.0, 213.3221, 1.7778)
28 : (0, 1, 0.0, 178.8427, 0.0)
29 : (1, 0, 0.0, 288.6342, 0.0)
30 : (3, 18, 0.0, 159.1797, 1.0)
31 : (3, 12, 0.0, 289.5142, 1.5)
32 : (8, 6, 0.0008, 80.4139, 2.6667)
33 : (0, 8, 0.0001, 116.5109, 0.0)
34 : (0, 12, 0.0, 0.0, 0.0)
35 : (12, 9, 0.0, 218.198, 1.8333)
36 : (0, 10, 0.0, 194.3092, 0.0)
37 : (4, 0, 0.0, 268.7798, 0.0)
38 : (0, 5, 0.0, 263.9762, 0.0)
39 : (5, 0, 0.0059, 140.6255, 0.0)
40 : (1, 2, 0.0, 191.1078, 1.0)
41 : (1, 2, 0.0, 237.3682, 0.0)
42 : (12, 6, 0.0, 191.5263, 2.4)
43 : (3, 12, 0.0, 287.4536, 1.8)
44 : (2, 16, 0.0086, 184.2229, 1.0)
45 : (1, 4, 0.002, 221.2861, 2.0)
46 : (10, 16, 0.0004, 203.2279, 1.6667)
47 : (1, 13, 0.0001, 127.4011, 2.6667)
48 : (0, 9, 0.0, 152.4675, 0.0)
49 : (6, 0, 0.0, 119.4573, 0.0)
50 : (1, 12, 0.0, 231.5145, 1.0)
51 : (10, 12, 0.0, 169.0344, 1.6667)
52 : (2, 15, 0.0133, 86.9477, 1.0)
53 : (14, 2, 0.0013, 251.9592, 5.5)
54 : (20, 0, 0.0066, 369.4973, 0.0)
55 : (0, 20, 0.0022, 218.1655, 0.0)
56 : (0, 7, 0.0, 321.3468, 0.0)
57 : (7, 5, 0.0, 234.6209, 0.0)
58 : (19, 2, 0.0, 328.8273, 9.5)
59 : (1, 24, 0.0, 258.0497, 0.0)
60 : (0, 0, 0.0, 203.3391, 0.0)
61 : (0, 0, 0.0, 332.4097, 0.0)
62 : (8, 23, 0.0, 124.8113, 1.0)
63 : (6, 10, 0.0, 237.6671, 1.4)
64 : (1, 16, 0.0, 292.7168, 1.0)
65 : (14, 1, 0.0, 274.9407, 10.0)
66 : (0, 13, 0.0, 222.9149, 0.0)
67 : (13, 20, 0.0022, 168.7881, 1.4444)
68 : (12, 13, 0.0038, 311.9251, 2.75)
69 : (1, 12, 0.0003, 196.4901, 3.75)
70 : (0, 5, 0.0, 289.7709, 0.0)
71 : (5, 1, 0.0, 139.9025, 2.0)
72 : (6, 4, 0.0, 239.0037, 2.5)
