   	        entropy        	                  diff                 
   	-----------------------	---------------------------------------
gen	min    	avg    	max    	min     	avg     	max    
0  	1.43047	2.1657 	2.72193	0.858494	1.34304 	1.76913
1  	1.38742	2.23268	2.78129	0.809251	1.22638 	1.54233
2  	1.38742	2.28898	2.83407	0.73215 	1.13053 	1.55274
3  	1.38742	2.27492	2.83407	0.630517	1.01797 	1.47945
4  	1.629  	2.3426 	2.83407	0.630197	0.994923	1.47945
5  	1.479  	2.45031	2.87095	0.630197	1.01959 	1.34382
6  	1.629  	2.4478 	2.87095	0.630197	0.947738	1.34382
7  	1.51   	2.38273	2.99277	0.630197	0.859803	1.34382
8  	1.6561 	2.43195	2.99277	0.463514	0.844489	1.32271
9  	1.6561 	2.58223	2.99277	0.463514	0.888871	1.32271
10 	1.6561 	2.53964	2.99277	0.463472	0.803731	1.32271
11 	2.26594	2.6325 	2.99277	0.445784	0.813816	1.32271
12 	1.72733	2.59673	2.99277	0.445784	0.72342 	1.148  
13 	2.05949	2.65519	2.99277	0.445671	0.742799	1.148  
14 	1.87193	2.71328	2.99277	0.41764 	0.761382	1.148  
15 	1.87193	2.70521	2.99277	0.410856	0.71465 	1.148  
16 	2.10954	2.7313 	2.99277	0.410856	0.71698 	1.148  
17 	2.198  	2.76277	2.99277	0.410856	0.670669	1.148  
18 	2.0154 	2.75289	2.99277	0.399671	0.664653	1.148  
19 	1.53144	2.62667	2.99277	0.397765	0.568975	1.148  
20 	1.81   	2.71629	2.99277	0.397621	0.559397	1.148  
21 	2.1524 	2.78262	2.99277	0.397102	0.578865	1.148  
22 	2.00044	2.81049	3      	0.390006	0.583813	1.148  
23 	2.00044	2.81346	3      	0.390006	0.553199	1.148  
24 	2.00044	2.81705	3      	0.383085	0.558852	1.148  
25 	2.33884	2.85889	3      	0.353712	0.532154	1.148  
26 	1.81   	2.83857	3      	0.352762	0.52184 	1.148  
27 	1.72733	2.81798	3      	0.352762	0.54635 	1.148  
28 	1.72733	2.84665	3      	0.352762	0.551123	1.148  
29 	1.86593	2.89838	3      	0.343889	0.555092	1.148  
30 	2.279  	2.89715	3      	0.325958	0.479711	1.148  
31 	1.87689	2.80723	3      	0.325958	0.446318	1.148  
32 	2.53193	2.89278	3      	0.325699	0.423863	0.59206
33 	2.26594	2.90219	3      	0.318635	0.428775	0.59206
34 	2.26594	2.90232	3      	0.318183	0.437867	0.59206
35 	2.54028	2.9046 	3      	0.318183	0.423103	0.59206
36 	2.46738	2.922  	3      	0.312861	0.433782	0.59206
37 	2.46738	2.95386	3      	0.312861	0.439431	0.59206
38 	2.81128	2.98048	3      	0.310068	0.453256	0.59206
39 	2.81128	2.97103	3      	0.310068	0.405717	0.59206
40 	2.81128	2.98801	3      	0.310068	0.424629	0.59206
41 	2.89277	2.99063	3      	0.310068	0.398238	0.59206
42 	2.89277	2.98863	3      	0.310068	0.396602	0.59206
43 	2.89277	2.98863	3      	0.310068	0.396602	0.59206
44 	2.62193	2.98121	3      	0.309421	0.394953	0.59206
45 	2.62193	2.98121	3      	0.309421	0.394953	0.59206
46 	2.62193	2.98077	3      	0.309421	0.394949	0.59206
47 	2.62193	2.97716	3      	0.309421	0.393305	0.59206
48 	2.62193	2.97716	3      	0.309421	0.393305	0.59206
49 	2.62193	2.96789	3      	0.309421	0.391541	0.59206
