   	        entropy        	                  diff                  
   	-----------------------	----------------------------------------
gen	min    	avg    	max    	min      	avg     	max     
0  	1.09049	2.09795	2.7183 	0.944021 	1.31425 	1.65771 
1  	0.95   	2.20047	2.7183 	0.701711 	1.16625 	1.43066 
2  	0.95   	2.31957	2.78129	0.632947 	1.08466 	1.40867 
3  	0.95   	2.37124	2.80277	0.632947 	0.917647	1.36657 
4  	1      	2.47129	2.89277	0.615339 	0.86932 	1.40324 
5  	1      	2.53651	2.89277	0.577282 	0.860109	1.40324 
6  	1      	2.62452	2.93407	0.505854 	0.845208	1.40324 
7  	2.04551	2.64127	3      	0.374753 	0.692899	1.18748 
8  	1.82382	2.70929	3      	0.363375 	0.674587	1.18748 
9  	2.4744 	2.7975 	3      	0.363375 	0.690283	1.18748 
10 	2.26738	2.78793	3      	0.363327 	0.576005	1.12486 
11 	1.869  	2.79992	3      	0.349159 	0.547825	1.12486 
12 	1.869  	2.82077	3      	0.326686 	0.50765 	0.861179
13 	1.869  	2.77595	3      	0.326686 	0.466904	0.85704 
14 	2.28653	2.84498	3      	0.326686 	0.453795	0.813254
15 	2.19925	2.84971	3      	0.248444 	0.426243	0.813254
16 	2.19925	2.81736	3      	0.248444 	0.406889	0.813254
17 	2.19925	2.83783	3      	0.212746 	0.405526	0.813254
18 	2.11128	2.85858	3      	0.204134 	0.395473	0.813254
19 	1.15   	2.76361	3      	0.203777 	0.365372	0.813254
20 	1.84356	2.88382	3      	0.183115 	0.377632	0.831871
21 	1.15   	2.79289	3      	0.14291  	0.289301	0.813254
22 	1.05   	2.82999	3      	0.127469 	0.287586	0.813254
23 	1.05   	2.74916	3      	0.127469 	0.23955 	0.813254
24 	1.05   	2.78275	3      	0.127338 	0.242042	0.813254
25 	2.2473 	2.84079	3      	0.126699 	0.238463	0.813254
26 	2.27303	2.81907	3      	0.126688 	0.185145	0.347951
27 	2.24274	2.81121	3      	0.126688 	0.175611	0.347951
28 	2.27303	2.85524	3      	0.125907 	0.177349	0.347951
29 	2.12095	2.87953	3      	0.125696 	0.186257	0.347951
30 	2.12095	2.9039 	3      	0.125696 	0.191597	0.347951
31 	2.12095	2.92528	3      	0.12416  	0.197642	0.347951
32 	2.12095	2.85591	3      	0.12416  	0.174409	0.347951
33 	1.99133	2.86434	3      	0.12416  	0.168428	0.258709
34 	1.99133	2.81106	3      	0.123096 	0.152143	0.258709
35 	1.60612	2.74843	3      	0.123096 	0.151713	0.258709
36 	1.60612	2.80442	3      	0.122895 	0.151554	0.258709
37 	2.11128	2.82721	3      	0.112441 	0.146364	0.257549
38 	2.11128	2.88824	3      	0.112441 	0.134762	0.252981
39 	2.11128	2.86772	3      	0.110048 	0.132121	0.183784
40 	2.11128	2.83419	3      	0.110048 	0.130903	0.183784
41 	2.37473	2.8868 	3      	0.103764 	0.129815	0.183784
42 	1.05   	2.89633	3      	0.103764 	0.134917	0.183784
43 	1.97193	2.91358	3      	0.103306 	0.12844 	0.183784
44 	2.08343	2.89815	3      	0.102257 	0.126066	0.183784
45 	2.2183 	2.92285	3      	0.101608 	0.12715 	0.183784
46 	2.5    	2.94481	3      	0.101608 	0.121348	0.162252
47 	2.56144	2.93495	3      	0.0979275	0.11827 	0.162252
48 	2.56144	2.96476	3      	0.0979275	0.11998 	0.162252
49 	2.56144	2.95901	3      	0.0979275	0.118829	0.12416 
