Gen : 0
0 : (0, 40, 0.0, 0.0, 0.0)
1 : (40, 8, 0.1712, 432.7199, 4.375)
2 : (0, 40, 0.0, 0.0, 0.0)
3 : (40, 5, 0.1197, 388.341, 8.5)
4 : (0, 40, 0.0, 303.1316, 0.0)
5 : (40, 6, 0.1328, 396.7046, 6.5)
6 : (0, 40, 0.0, 224.3961, 0.0)
7 : (40, 11, 0.1085, 350.8954, 3.8889)
8 : (0, 40, 0.0, 1022.3989, 0.0)
9 : (40, 6, 0.1165, 372.5495, 9.5)
10 : (0, 40, 0.0, 0.0, 0.0)
11 : (40, 12, 0.1175, 384.6935, 3.0833)
12 : (0, 40, 0.0, 0.0, 0.0)
13 : (40, 10, 0.1329, 383.8159, 4.375)
14 : (0, 40, 0.0, 0.0, 0.0)
15 : (40, 7, 0.1877, 463.2919, 5.4286)
16 : (15, 25, 0.0, 270.7802, 1.5556)
17 : (25, 17, 0.1981, 483.0689, 2.5)
18 : (19, 21, 0.0148, 416.8288, 2.1111)
19 : (21, 26, 0.153, 460.8173, 1.6667)
20 : (7, 33, 0.055, 651.4312, 1.1667)
21 : (33, 14, 0.1924, 456.7374, 3.1)
22 : (7, 34, 0.0282, 483.5107, 1.1667)
23 : (33, 14, 0.1552, 415.9132, 2.8)
24 : (10, 30, 0.0297, 591.0317, 1.6)
25 : (30, 21, 0.2145, 499.1742, 2.3077)
26 : (13, 27, 0.0421, 537.1785, 2.1667)
27 : (27, 17, 0.1466, 406.4379, 2.6)
28 : (13, 27, 0.034, 592.1631, 1.3333)
29 : (27, 27, 0.2065, 481.9646, 2.25)
30 : (7, 33, 0.0, 502.3634, 1.1667)
31 : (33, 13, 0.2323, 512.5607, 2.7273)
32 : (10, 30, 0.0454, 633.4366, 1.0)
33 : (30, 18, 0.1967, 480.1898, 2.5)
34 : (6, 34, 0.0237, 511.9864, 1.5)
35 : (34, 12, 0.1869, 471.4348, 3.4444)
36 : (10, 30, 0.0135, 419.5615, 1.0)
37 : (30, 19, 0.1702, 431.7344, 2.0)
38 : (11, 29, 0.0244, 556.4745, 1.1)
39 : (29, 20, 0.1724, 426.1815, 2.25)
40 : (17, 23, 0.0102, 429.1773, 1.6)
41 : (23, 22, 0.1802, 453.7307, 1.9167)
42 : (12, 28, 0.0618, 574.2654, 1.0909)
43 : (28, 20, 0.188, 468.0907, 1.9231)
44 : (10, 30, 0.0202, 482.9503, 1.25)
45 : (30, 18, 0.1942, 465.2361, 2.6364)
46 : (18, 22, 0.0188, 525.8643, 1.875)
47 : (22, 26, 0.1823, 464.7738, 1.8333)
48 : (16, 24, 0.0113, 425.9902, 1.875)
49 : (24, 26, 0.1625, 439.6184, 1.8462)
50 : (20, 20, 0.0111, 447.4294, 1.9)
51 : (20, 25, 0.185, 456.19, 1.6667)
52 : (16, 24, 0.0518, 719.8107, 1.4545)
53 : (24, 26, 0.1968, 469.8709, 1.7692)
54 : (20, 20, 0.005, 416.1652, 1.5385)
55 : (20, 25, 0.2225, 501.1183, 1.1875)
56 : (12, 28, 0.0063, 442.4372, 1.25)
57 : (28, 20, 0.2087, 515.3185, 2.3333)
58 : (12, 28, 0.0359, 546.4481, 1.375)
59 : (28, 19, 0.2145, 514.5274, 2.5455)
60 : (20, 20, 0.0433, 628.772, 2.2222)
61 : (20, 29, 0.2379, 524.3223, 1.5833)
62 : (23, 17, 0.0115, 504.2442, 1.8333)
63 : (17, 28, 0.1255, 378.4452, 1.3077)
64 : (12, 28, 0.0162, 510.2567, 1.5)
65 : (28, 17, 0.2208, 516.1238, 2.7)
66 : (14, 20, 0.0328, 621.9355, 1.4444)
67 : (20, 24, 0.2082, 481.4826, 1.5385)
68 : (13, 27, 0.0345, 610.9532, 1.4444)
69 : (27, 20, 0.2793, 590.6053, 1.8571)
70 : (13, 27, 0.0155, 613.4314, 1.1818)
71 : (27, 23, 0.1788, 438.1361, 1.5625)
72 : (13, 27, 0.0153, 468.8004, 1.1818)
73 : (27, 20, 0.2372, 534.058, 2.0)
74 : (11, 23, 0.017, 439.3471, 1.1)
75 : (23, 25, 0.2154, 474.4919, 1.4375)
76 : (7, 33, 0.0, 400.0062, 1.2)
77 : (33, 15, 0.1406, 422.6945, 3.3)
78 : (8, 32, 0.0, 423.8329, 1.0)
79 : (32, 17, 0.1594, 427.0083, 2.5833)
80 : (6, 34, 0.04, 623.5198, 1.2)
81 : (34, 19, 0.1461, 433.3861, 2.5385)
82 : (9, 31, 0.0, 494.9823, 1.125)
83 : (31, 18, 0.2077, 500.4731, 2.2308)
84 : (10, 30, 0.0127, 481.2457, 1.1111)
85 : (30, 22, 0.144, 393.3478, 1.9286)
86 : (6, 34, 0.0153, 504.9779, 1.0)
87 : (34, 16, 0.1321, 413.0102, 2.6667)
88 : (25, 15, 0.0247, 624.4871, 1.6923)
89 : (15, 31, 0.2097, 503.3726, 1.1538)
90 : (10, 30, 0.0154, 437.2449, 1.1111)
91 : (30, 20, 0.1972, 454.8836, 2.2308)
92 : (25, 15, 0.0037, 410.0224, 2.3333)
93 : (15, 31, 0.1565, 425.1635, 1.25)
94 : (27, 13, 0.0, 477.3376, 2.6)
95 : (13, 34, 0.1541, 430.7775, 1.3)
96 : (12, 28, 0.0, 227.623, 1.2)
97 : (28, 20, 0.1958, 465.0009, 2.25)
98 : (11, 29, 0.0, 326.1389, 1.5714)
99 : (29, 15, 0.1947, 489.2901, 3.25)
*********************************************************
   	     	        entropy        	                  diff                  
   	     	-----------------------	----------------------------------------
gen	evals	min    	avg    	max    	min      	avg     	max     
0  	50   	1.53144	2.37832	2.85443	0.0424052	0.164715	0.571668
