Gen : 0
0 : (28, 38, 0.7354, 105.6252, 1.4)
1 : (12, 28, 0.0, 524.5614, 1.1111)
2 : (23, 37, 1.1613, 132.2798, 1.5333)
3 : (12, 23, 0.0, 496.8723, 1.5)
4 : (21, 41, 1.1006, 128.3407, 1.3125)
5 : (12, 21, 0.0081, 590.2987, 2.4)
6 : (14, 28, 0.7635, 220.3083, 1.4)
7 : (0, 14, 0.0, 709.4789, 0.0)
8 : (26, 51, 0.8163, 161.3706, 1.1364)
9 : (14, 26, 0.0, 367.2573, 1.75)
10 : (29, 43, 0.9211, 156.8342, 1.3333)
11 : (11, 29, 0.0238, 408.5429, 1.5714)
12 : (17, 40, 1.0024, 180.0471, 1.4167)
13 : (23, 17, 0.0043, 374.7874, 2.75)
14 : (24, 38, 0.9609, 165.6946, 1.2105)
15 : (16, 24, 0.0143, 395.1984, 1.7778)
16 : (18, 37, 0.9496, 149.4267, 1.3846)
17 : (22, 18, 0.0163, 582.7179, 2.25)
18 : (18, 39, 1.2846, 190.8382, 1.3077)
19 : (22, 18, 0.0, 527.5538, 3.1429)
20 : (12, 38, 0.6494, 185.7608, 1.3333)
21 : (28, 12, 0.0755, 593.8252, 2.75)
22 : (17, 34, 0.7453, 198.1763, 1.2308)
23 : (18, 17, 0.0349, 557.8792, 2.25)
24 : (17, 38, 0.2527, 116.714, 1.5455)
25 : (23, 17, 0.0417, 487.5287, 2.1429)
26 : (11, 43, 0.5045, 181.536, 1.1)
27 : (28, 11, 0.0127, 410.6873, 3.375)
28 : (0, 43, 0.0643, 227.5589, 0.0)
29 : (40, 0, 0.0688, 681.2245, 0.0)
30 : (0, 43, 0.0405, 181.1151, 0.0)
31 : (40, 0, 0.0797, 641.9824, 0.0)
32 : (0, 42, 0.0469, 170.5254, 0.0)
33 : (40, 0, 0.0617, 586.2016, 0.0)
34 : (1, 41, 0.0357, 141.3716, 1.0)
35 : (39, 1, 0.0536, 622.6239, 0.0)
36 : (2, 45, 0.0833, 239.9187, 1.0)
37 : (38, 3, 0.0317, 465.3325, 10.0)
38 : (1, 44, 0.0547, 173.6873, 1.0)
39 : (39, 1, 0.0433, 536.9018, 7.0)
40 : (0, 41, 0.0313, 182.8744, 0.0)
41 : (40, 0, 0.0556, 602.8076, 0.0)
42 : (3, 43, 0.0313, 170.6965, 1.5)
43 : (37, 3, 0.0382, 555.3901, 14.5)
44 : (3, 39, 0.0328, 109.1783, 1.0)
45 : (37, 3, 0.0493, 607.6994, 11.0)
46 : (23, 65, 0.6709, 214.146, 1.15)
47 : (3, 23, 0.0, 396.0599, 1.0)
48 : (31, 56, 0.7028, 188.8517, 1.3043)
49 : (9, 31, 0.0, 503.7941, 1.125)
50 : (25, 36, 0.5, 191.5947, 1.2)
51 : (11, 25, 0.0, 270.7273, 1.0)
52 : (6, 10, 0.2216, 105.9707, 1.5)
53 : (3, 6, 0.0, 130.9702, 3.0)
54 : (17, 38, 1.3947, 143.6321, 1.5455)
55 : (23, 17, 0.0163, 625.7819, 2.7143)
56 : (25, 36, 0.9389, 184.1226, 1.5)
57 : (15, 25, 0.0076, 512.5494, 2.5)
58 : (23, 44, 0.7236, 152.1628, 1.3125)
59 : (17, 23, 0.0471, 609.188, 1.7)
60 : (21, 38, 1.0446, 120.3304, 1.4286)
61 : (19, 21, 0.0058, 441.9743, 2.7143)
62 : (24, 36, 0.7716, 108.1348, 1.3529)
63 : (16, 24, 0.0076, 398.3603, 1.4545)
64 : (27, 38, 0.8527, 101.0812, 1.3684)
65 : (13, 27, 0.0234, 524.1377, 2.1667)
66 : (1, 40, 0.4278, 170.7056, 1.0)
67 : (39, 18, 0.0015, 365.2272, 2.4667)
68 : (28, 76, 0.3892, 202.0036, 1.2273)
69 : (12, 28, 0.01, 435.8393, 1.3333)
70 : (20, 77, 0.38, 195.9505, 1.1111)
71 : (11, 20, 0.0083, 378.5204, 1.375)
72 : (31, 80, 0.4834, 164.5077, 1.1111)
73 : (9, 31, 0.0278, 477.7317, 1.5)
74 : (17, 80, 0.4375, 157.6041, 1.1333)
75 : (22, 17, 0.0064, 442.5749, 2.2)
76 : (26, 68, 0.4504, 156.6294, 1.25)
77 : (14, 26, 0.0234, 407.6492, 1.4)
78 : (8, 53, 0.7394, 150.864, 1.1429)
79 : (32, 8, 0.043, 644.6429, 4.3333)
