Gen : 0
0 : (24, 16, 0.0018, 242.2284, 2.1818)
1 : (16, 24, 0.0, 211.3202, 1.4711)
2 : (20, 20, 0.0022, 235.0264, 1.6667)
3 : (20, 20, 0.0, 206.5603, 1.8788)
4 : (22, 18, 0.0018, 274.2476, 2.4444)
5 : (18, 22, 0.0, 203.2437, 2.1605)
6 : (25, 15, 0.0, 232.0521, 2.5)
7 : (15, 25, 0.0, 210.8722, 1.8333)
8 : (22, 18, 0.0, 146.4647, 2.0)
9 : (18, 22, 0.0027, 203.2469, 2.0)
10 : (26, 14, 0.0006, 206.8647, 2.8889)
11 : (14, 26, 0.0, 96.2117, 1.9861)
12 : (20, 20, 0.0007, 224.2798, 1.7273)
13 : (20, 20, 0.0, 233.9459, 1.9752)
14 : (22, 18, 0.0019, 249.0443, 3.1429)
15 : (18, 22, 0.0023, 190.3641, 2.3061)
16 : (31, 9, 0.0014, 227.9044, 4.2857)
17 : (9, 31, 0.0001, 170.1962, 1.898)
18 : (25, 15, 0.0028, 288.8116, 2.2727)
19 : (15, 25, 0.0001, 243.0878, 1.4273)
20 : (26, 14, 0.0029, 247.5728, 2.7778)
21 : (14, 26, 0.0001, 153.2589, 1.8642)
22 : (27, 13, 0.0016, 244.329, 2.625)
23 : (13, 27, 0.0, 183.0173, 1.9531)
24 : (26, 14, 0.0006, 234.1295, 3.0)
25 : (14, 26, 0.0, 210.0796, 1.8889)
26 : (24, 16, 0.0021, 283.9227, 2.6667)
27 : (16, 24, 0.0001, 185.2579, 1.963)
28 : (20, 20, 0.0014, 205.8167, 2.5)
29 : (20, 20, 0.0, 171.052, 2.6875)
30 : (28, 13, 0.002, 185.674, 2.8)
31 : (12, 28, 0.0001, 201.7414, 1.725)
32 : (23, 17, 0.0032, 295.1593, 2.3)
33 : (17, 23, 0.0001, 167.2618, 1.83)
34 : (26, 14, 0.0031, 268.2194, 3.25)
35 : (14, 26, 0.0001, 227.1965, 2.3214)
36 : (26, 14, 0.0, 249.2759, 3.7143)
37 : (14, 26, 0.0009, 119.2266, 2.7857)
38 : (20, 20, 0.0007, 246.6905, 1.7273)
39 : (20, 20, 0.0, 179.7219, 1.9752)
40 : (17, 23, 0.0038, 286.235, 1.3077)
41 : (23, 17, 0.0001, 221.6198, 1.7929)
42 : (23, 17, 0.0, 184.6998, 2.75)
43 : (17, 23, 0.0036, 213.3704, 2.1944)
44 : (17, 23, 0.0038, 278.0706, 1.8889)
45 : (23, 17, 0.0027, 213.9846, 2.6111)
46 : (22, 18, 0.0, 202.0587, 1.9091)
47 : (18, 22, 0.0, 185.1723, 1.8099)
48 : (24, 16, 0.0075, 324.321, 2.4)
49 : (16, 24, 0.0002, 163.5746, 1.74)
50 : (21, 19, 0.0, 225.8391, 2.2222)
51 : (19, 21, 0.0047, 232.6276, 2.358)
52 : (34, 6, 0.0, 200.3902, 5.6667)
53 : (6, 34, 0.0, 163.6905, 2.1333)
54 : (21, 19, 0.0007, 232.112, 2.0)
55 : (19, 21, 0.0, 197.4438, 1.9091)
56 : (15, 25, 0.0016, 199.135, 1.5556)
57 : (25, 15, 0.0, 232.1732, 2.6556)
58 : (18, 22, 0.0, 186.9822, 2.5714)
59 : (22, 18, 0.0037, 238.7163, 3.0816)
60 : (20, 20, 0.0007, 213.4185, 2.0)
61 : (20, 20, 0.0027, 194.3787, 2.1)
