Gen : 0
*********************************************************
Gen : 1
*********************************************************
Gen : 2
*********************************************************
Gen : 3
*********************************************************
Gen : 4
*********************************************************
Gen : 5
*********************************************************
Gen : 6
*********************************************************
Gen : 7
*********************************************************
Gen : 8
*********************************************************
Gen : 9
*********************************************************
Gen : 10
*********************************************************
   	      entropy      	       obj_1       	       obj_2       
   	-------------------	-------------------	-------------------
gen	min	avg 	max	min	avg 	max	min	avg 	max
0  	0  	0.92	2  	0  	2.2 	5  	0  	2.46	5  
1  	0  	1.42	2  	0  	3.22	5  	1  	3.6 	5  
2  	0  	1.36	2  	0  	3.64	5  	2  	4.16	5  
3  	0  	1.38	2  	1  	4.12	5  	2  	4.26	5  
4  	0  	1.4 	2  	2  	4.32	5  	2  	4.4 	5  
5  	0  	1.46	2  	2  	4.52	5  	3  	4.58	5  
6  	0  	1.54	2  	3  	4.5 	5  	3  	4.8 	5  
7  	0  	1.66	2  	4  	4.6 	5  	4  	4.84	5  
8  	1  	1.66	2  	4  	4.56	5  	4  	4.92	5  
9  	1  	1.6 	2  	4  	4.68	5  	4  	4.92	5  
10 	1  	1.48	2  	4  	4.96	5  	4  	4.9 	5  
